date,industry,filled_jobs
2021-03-01,education_and_training,199745.0
2021-03-01,electricity_gas_water_and_waste_services,20745.0
2021-03-01,financial_and_insurance_services,64467.0
2021-03-01,health_care_and_social_assistance,251001.0
2021-03-01,information_media_and_telecommunications,31708.0
2021-03-01,manufacturing,231778.0
2021-03-01,mining,5550.0
2021-03-01,other_services,76297.0
2021-03-01,professional_scientific_and_technical_services,174338.0
2021-03-01,public_administration_and_safety,147450.0
2021-03-01,rental_hiring_and_real_estate_services,35682.0
2021-03-01,retail_trade,206924.0
2021-03-01,transport_postal_and_warehousing,87859.0
2021-03-01,wholesale_trade,112395.0
2021-04-01,accommodation_and_food_services,144437.0
2021-04-01,administrative_and_support_services,105471.0
2021-04-01,agriculture_forestry_and_fishing,101950.0
2021-04-01,arts_and_recreation_services,39717.0
2021-04-01,construction,189032.0
2021-04-01,education_and_training,200459.0
2021-04-01,electricity_gas_water_and_waste_services,20805.0
2021-04-01,financial_and_insurance_services,64098.0
2021-04-01,health_care_and_social_assistance,252905.0
2021-04-01,information_media_and_telecommunications,31539.0
2021-04-01,manufacturing,232342.0
2021-04-01,mining,5518.0
2021-04-01,other_services,76164.0
2021-04-01,professional_scientific_and_technical_services,176899.0
2021-04-01,public_administration_and_safety,147118.0
2021-04-01,rental_hiring_and_real_estate_services,35849.0
2021-04-01,retail_trade,207052.0
2021-04-01,transport_postal_and_warehousing,88166.0
2021-04-01,wholesale_trade,112206.0
2021-05-01,accommodation_and_food_services,145757.0
2021-05-01,administrative_and_support_services,105438.0
2021-05-01,agriculture_forestry_and_fishing,99379.0
2021-05-01,arts_and_recreation_services,39672.0
2021-05-01,construction,191134.0
2021-05-01,education_and_training,202555.0
2021-05-01,electricity_gas_water_and_waste_services,20858.0
2021-05-01,financial_and_insurance_services,64164.0
2021-05-01,health_care_and_social_assistance,254369.0
2021-05-01,information_media_and_telecommunications,31699.0
2021-05-01,manufacturing,231428.0
2021-05-01,mining,5379.0
2021-05-01,other_services,76855.0
2021-05-01,professional_scientific_and_technical_services,178199.0
2021-05-01,public_administration_and_safety,146413.0
2021-05-01,rental_hiring_and_real_estate_services,35927.0
2021-05-01,retail_trade,207214.0
2021-05-01,transport_postal_and_warehousing,87984.0
2021-05-01,wholesale_trade,112106.0
2021-06-01,accommodation_and_food_services,146744.0
2021-06-01,administrative_and_support_services,103878.0
2021-06-01,agriculture_forestry_and_fishing,96369.0
2021-06-01,arts_and_recreation_services,40944.0
2021-06-01,construction,192112.0
2021-06-01,education_and_training,203948.0
2021-06-01,electricity_gas_water_and_waste_services,21069.0
2021-06-01,financial_and_insurance_services,65044.0
2021-06-01,health_care_and_social_assistance,255422.0
2021-06-01,information_media_and_telecommunications,31668.0
2021-06-01,manufacturing,231888.0
2021-06-01,mining,5464.0
2021-06-01,other_services,77302.0
2021-06-01,professional_scientific_and_technical_services,179118.0
2021-06-01,public_administration_and_safety,146929.0
2021-06-01,rental_hiring_and_real_estate_services,36841.0
2021-06-01,retail_trade,208768.0
2021-06-01,transport_postal_and_warehousing,88116.0
2021-06-01,wholesale_trade,112506.0
2021-07-01,accommodation_and_food_services,147389.0
2021-07-01,administrative_and_support_services,99097.0
2021-07-01,agriculture_forestry_and_fishing,96780.0
2021-07-01,arts_and_recreation_services,41857.0
2021-07-01,construction,192411.0
2021-07-01,education_and_training,199600.0
2021-07-01,electricity_gas_water_and_waste_services,21038.0
2021-07-01,financial_and_insurance_services,66505.0
2021-07-01,health_care_and_social_assistance,257506.0
2021-07-01,information_media_and_telecommunications,31741.0
2021-07-01,manufacturing,232043.0
2021-07-01,mining,5449.0
2021-07-01,other_services,77593.0
2021-07-01,professional_scientific_and_technical_services,180577.0
2021-07-01,public_administration_and_safety,146995.0
2021-07-01,rental_hiring_and_real_estate_services,36510.0
2021-07-01,retail_trade,208615.0
2021-07-01,transport_postal_and_warehousing,87587.0
2021-07-01,wholesale_trade,112973.0
2021-08-01,accommodation_and_food_services,150959.0
2021-08-01,administrative_and_support_services,99387.0
2021-08-01,agriculture_forestry_and_fishing,98502.0
2021-08-01,arts_and_recreation_services,42010.0
2021-08-01,construction,193113.0
2021-08-01,education_and_training,204269.0
2021-08-01,electricity_gas_water_and_waste_services,21067.0
2021-08-01,financial_and_insurance_services,65757.0
2021-08-01,health_care_and_social_assistance,259717.0
2021-08-01,information_media_and_telecommunications,31324.0
2021-08-01,manufacturing,228625.0
2021-08-01,mining,5422.0
2021-08-01,other_services,78010.0
2021-08-01,professional_scientific_and_technical_services,180776.0
2021-08-01,public_administration_and_safety,148036.0
2021-08-01,rental_hiring_and_real_estate_services,36170.0
2021-08-01,retail_trade,210241.0
2021-08-01,transport_postal_and_warehousing,87889.0
2021-08-01,wholesale_trade,112687.0
2021-09-01,accommodation_and_food_services,151016.0
2021-09-01,administrative_and_support_services,99422.0
2021-09-01,agriculture_forestry_and_fishing,99248.0
2021-09-01,arts_and_recreation_services,41776.0
2021-09-01,construction,194480.0
2021-09-01,education_and_training,205207.0
2021-09-01,electricity_gas_water_and_waste_services,21082.0
2021-09-01,financial_and_insurance_services,66143.0
2021-09-01,health_care_and_social_assistance,259259.0
2021-09-01,information_media_and_telecommunications,29864.0
2021-09-01,manufacturing,228126.0
2021-09-01,mining,5495.0
2021-09-01,other_services,78240.0
2021-09-01,professional_scientific_and_technical_services,181850.0
2021-09-01,public_administration_and_safety,149659.0
2021-09-01,rental_hiring_and_real_estate_services,36006.0
2021-09-01,retail_trade,210899.0
2021-09-01,transport_postal_and_warehousing,87582.0
2021-09-01,wholesale_trade,112289.0
2021-10-01,accommodation_and_food_services,150868.0
2021-10-01,administrative_and_support_services,101440.0
2021-10-01,agriculture_forestry_and_fishing,103410.0
2021-10-01,arts_and_recreation_services,40599.0
2021-10-01,construction,196937.0
2021-10-01,education_and_training,203496.0
