date,region,filled_jobs
2021-06-01,northland,70898.0
2021-06-01,otago,109869.0
2021-06-01,southland,47341.0
2021-06-01,taranaki,53466.0
2021-06-01,tasman,24335.0
2021-06-01,waikato,215147.0
2021-06-01,wellington,252315.0
2021-06-01,west_coast,14461.0
2021-07-01,auckland,758256.0
2021-07-01,bay_of_plenty,138395.0
2021-07-01,canterbury,294478.0
2021-07-01,gisborne,22448.0
2021-07-01,hawke's_bay,78601.0
2021-07-01,manawatu_whanganui,110226.0
2021-07-01,marlborough,26332.0
2021-07-01,nelson,20554.0
2021-07-01,northland,71081.0
2021-07-01,otago,109851.0
2021-07-01,southland,47224.0
2021-07-01,taranaki,53653.0
2021-07-01,tasman,24337.0
2021-07-01,waikato,215313.0
2021-07-01,wellington,251853.0
2021-07-01,west_coast,14406.0
2021-08-01,auckland,764248.0
2021-08-01,bay_of_plenty,139118.0
2021-08-01,canterbury,295798.0
2021-08-01,gisborne,22327.0
2021-08-01,hawke's_bay,78113.0
2021-08-01,manawatu_whanganui,110107.0
2021-08-01,marlborough,26396.0
2021-08-01,nelson,20539.0
2021-08-01,northland,71642.0
2021-08-01,otago,110206.0
2021-08-01,southland,47163.0
2021-08-01,taranaki,53751.0
2021-08-01,tasman,24336.0
2021-08-01,waikato,216834.0
2021-08-01,wellington,253645.0
2021-08-01,west_coast,14415.0
2021-09-01,auckland,763723.0
2021-09-01,bay_of_plenty,139534.0
2021-09-01,canterbury,297385.0
2021-09-01,gisborne,22297.0
2021-09-01,hawke's_bay,78284.0
2021-09-01,manawatu_whanganui,110286.0
2021-09-01,marlborough,26406.0
2021-09-01,nelson,20457.0
2021-09-01,northland,71791.0
2021-09-01,otago,110283.0
2021-09-01,southland,47070.0
2021-09-01,taranaki,54015.0
2021-09-01,tasman,24449.0
2021-09-01,waikato,217652.0
2021-09-01,wellington,254287.0
2021-09-01,west_coast,14504.0
2021-10-01,auckland,767568.0
2021-10-01,bay_of_plenty,141212.0
2021-10-01,canterbury,300329.0
2021-10-01,gisborne,22836.0
2021-10-01,hawke's_bay,79216.0
2021-10-01,manawatu_whanganui,111612.0
2021-10-01,marlborough,26478.0
2021-10-01,nelson,20675.0
2021-10-01,northland,72366.0
2021-10-01,otago,111767.0
2021-10-01,southland,47896.0
2021-10-01,taranaki,54322.0
2021-10-01,tasman,24605.0
2021-10-01,waikato,219163.0
2021-10-01,wellington,256291.0
2021-10-01,west_coast,14732.0
2021-11-01,auckland,778083.0
2021-11-01,bay_of_plenty,143700.0
2021-11-01,canterbury,303826.0
2021-11-01,gisborne,23163.0
2021-11-01,hawke's_bay,80674.0
2021-11-01,manawatu_whanganui,113245.0
2021-11-01,marlborough,27129.0
2021-11-01,nelson,21003.0
2021-11-01,northland,73999.0
2021-11-01,otago,113061.0
2021-11-01,southland,48611.0
2021-11-01,taranaki,55278.0
2021-11-01,tasman,25110.0
2021-11-01,waikato,222138.0
2021-11-01,wellington,259169.0
2021-11-01,west_coast,14937.0
2021-12-01,auckland,782763.0
2021-12-01,bay_of_plenty,143533.0
2021-12-01,canterbury,306189.0
2021-12-01,gisborne,23521.0
2021-12-01,hawke's_bay,82577.0
2021-12-01,manawatu_whanganui,113999.0
2021-12-01,marlborough,27309.0
2021-12-01,nelson,21136.0
2021-12-01,northland,74423.0
2021-12-01,otago,114439.0
2021-12-01,southland,49811.0
2021-12-01,taranaki,55533.0
2021-12-01,tasman,25553.0
2021-12-01,waikato,223871.0
2021-12-01,wellington,259950.0
2021-12-01,west_coast,15023.0
2022-01-01,auckland,765370.0
2022-01-01,bay_of_plenty,140008.0
2022-01-01,canterbury,299037.0
2022-01-01,gisborne,22813.0
2022-01-01,hawke's_bay,80643.0
2022-01-01,manawatu_whanganui,111920.0
2022-01-01,marlborough,26650.0
2022-01-01,nelson,20717.0
2022-01-01,northland,72455.0
2022-01-01,otago,112472.0
2022-01-01,southland,49066.0
2022-01-01,taranaki,54575.0
2022-01-01,tasman,24994.0
2022-01-01,waikato,219072.0
2022-01-01,wellington,254953.0
2022-01-01,west_coast,14759.0
2022-02-01,auckland,769747.0
2022-02-01,bay_of_plenty,139991.0
2022-02-01,canterbury,300467.0
2022-02-01,gisborne,23148.0
2022-02-01,hawke's_bay,81305.0
2022-02-01,manawatu_whanganui,112036.0
2022-02-01,marlborough,26727.0
2022-02-01,nelson,20676.0
2022-02-01,northland,72419.0
2022-02-01,otago,112279.0
2022-02-01,southland,49495.0
2022-02-01,taranaki,54594.0
2022-02-01,tasman,25048.0
2022-02-01,waikato,220032.0
2022-02-01,wellington,255988.0
2022-02-01,west_coast,14703.0
2022-03-01,auckland,769278.0
2022-03-01,bay_of_plenty,141215.0
2022-03-01,canterbury,300490.0
2022-03-01,gisborne,22899.0
2022-03-01,hawke's_bay,81624.0
2022-03-01,manawatu_whanganui,111595.0
2022-03-01,marlborough,26820.0
2022-03-01,nelson,20666.0
2022-03-01,northland,72345.0
2022-03-01,otago,111980.0
2022-03-01,southland,48644.0
2022-03-01,taranaki,54403.0
2022-03-01,tasman,25402.0
2022-03-01,waikato,219908.0
2022-03-01,wellington,255733.0
2022-03-01,west_coast,14702.0
2022-04-01,auckland,772147.0
2022-04-01,bay_of_plenty,144581.0
2022-04-01,canterbury,301199.0
2022-04-01,gisborne,22984.0
2022-04-01,hawke's_bay,82242.0
2022-04-01,manawatu_whanganui,111499.0
2022-04-01,marlborough,26742.0
2022-04-01,nelson,20744.0
2022-04-01,northland,73083.0
2022-04-01,otago,111747.0
2022-04-01,southland,48142.0
2022-04-01,taranaki,54452.0
2022-04-01,tasman,25585.0
2022-04-01,waikato,220633.0
2022-04-01,wellington,256130.0
2022-04-01,west_coast,14723.0
2022-05-01,auckland,772128.0
2022-05-01,bay_of_plenty,145292.0
2022-05-01,canterbury,301354.0
2022-05-01,gisborne,22940.0
2022-05-01,hawke's_bay,81784.0
2022-05-01,manawatu_whanganui,111304.0
2022-05-01,marlborough,26605.0
2022-05-01,nelson,20765.0
2022-05-01,northland,72762.0
2022-05-01,otago,111553.0
2022-05-01,southland,47952.0
2022-05-01,taranaki,54341.0
2022-05-01,tasman,25606.0
2022-05-01,waikato,220648.0
2022-05-01,wellington,256186.0
2022-05-01,west_coast,14688.0
2022-06-01,auckland,773252.0
2022-06-01,bay_of_plenty,143578.0
2022-06-01,canterbury,302699.0
2022-06-01,gisborne,22930.0
2022-06-01,hawke's_bay,81087.0
2022-06-01,manawatu_whanganui,111863.0
2022-06-01,marlborough,26605.0
2022-06-01,nelson,20804.0
2022-06-01,northland,72880.0
2022-06-01,otago,111980.0
2022-06-01,southland,47775.0
2022-06-01,taranaki,54422.0
2022-06-01,tasman,25345.0
2022-06-01,waikato,221032.0
